State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,pressure,temperatureMax,temperatureMin,visibility,windBearing,windSpeed,NDVI,DayInSeason,Yield
Karnataka,BAGALKOT,1999,Kharif     ,Niger seed,347,53,1012.17,72.29,29.08,10,265,11.24,145.0908203,0,25.2
Karnataka,BAGALKOT,1999,Kharif     ,Other Kharif pulses,21091,3696,1012.17,72.45,30.56,10,270,11.12,144.9942169,0,25.2
Karnataka,BAGALKOT,1999,Kharif     ,Rice,128,202,1012.17,72.45,29.24,10,265,10.9,144.5618896,0,25.2
Karnataka,BAGALKOT,1999,Kharif     ,Sesamum,1354,607,1012.17,72.44,29.74,10,266,11.09,144.5618896,0,25.2
Karnataka,BAGALKOT,1999,Kharif     ,Small millets,540,190,1011.92,73.04,31.03,10,269,11.35,144.5117188,0,25.2
Karnataka,BAGALKOT,1999,Kharif     ,Soyabean,5098,4262,1012.17,72.19,29.23,10,266,11.43,144.1581116,0,25.2
Karnataka,BAGALKOT,1999,Kharif     ,Sunflower,26250,14837,1018.33,44.03,19.2,9.94,6,17.31,146.2250214,0,40.8
Karnataka,BAGALKOT,1999,Rabi       ,Gram,18807,12599,1018.17,44.7,19.41,9.92,6,17.26,146.2250214,0,40.8
Karnataka,BAGALKOT,1999,Rabi       ,Groundnut,15530,20537,1017.94,44.64,19.46,9.91,6,17.17,146.0606537,0,40.8
Karnataka,BAGALKOT,1999,Rabi       ,Horse-gram,3584,538,1018.02,42.54,19.03,9.95,8,17.13,142.285141,0,40.8
Karnataka,BAGALKOT,1999,Rabi       ,Jowar,160974,147679,1017.46,42.68,19.19,9.93,8,16.89,142.285141,0,40.8
Karnataka,BAGALKOT,1999,Rabi       ,Linseed,5667,1647,1017.54,42.51,19.09,9.96,9,17.09,142.285141,0,40.8
Karnataka,BAGALKOT,1999,Rabi       ,Maize,15401,41391,1013.51,49.92,18.83,10,5,9.12,149.3715057,0,24.8
Karnataka,BAGALKOT,1999,Rabi       ,Other  Rabi pulses,1598,202,1013.98,50.02,19.36,9.98,5,8.94,148.7088928,0,24.8
Karnataka,BAGALKOT,1999,Rabi       ,Rapeseed &Mustard,74,11,1013.51,52.07,19.63,10,6,8.35,147.7090607,0,24.8
Karnataka,BAGALKOT,1999,Rabi       ,Safflower,3926,2828,1013.51,53.39,19.62,10,1,7.92,147.1278687,0,24.8
Karnataka,BAGALKOT,1999,Rabi       ,Sunflower,24177,15169,1013.51,53.31,19.64,10,1,7.93,147.066391,0,24.8
Karnataka,BAGALKOT,1999,Rabi       ,Wheat,21584,29875,1013.51,52.41,19.02,10,1,8.35,147.0493774,0,24.8
Karnataka,BAGALKOT,1999,Summer     ,Maize,416,760,1013.49,61.85,27.62,10,28,5.84,151.4132538,0,22.9
Karnataka,BAGALKOT,1999,Summer     ,Sunflower,1527,1065,1013.49,62.26,27.72,10,28,5.74,151.3934174,0,22.9
